City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
148,jumla,29.2747,82.1838,10.5,10,0,2.96,NP,1674026470
149,ouesso,1.6136,16.0517,27.28,53,80,1.47,CG,1674026470
150,kununurra,-15.7667,128.7333,26.99,89,87,2.57,AU,1674026470
151,karaton,-6.3424,106.1045,26.4,79,100,2.16,ID,1674026471
152,cleethorpes,53.5605,-0.0323,1.14,86,74,7.72,GB,1674026471
153,provideniya,64.3833,-173.3,-27.55,86,2,3.52,RU,1674026471
154,nyurba,63.2842,118.3319,-48.32,99,97,0.83,RU,1674026471
155,matara,5.9485,80.5353,29.49,61,100,4.76,LK,1674026249
156,barrow,71.2906,-156.7887,-21.99,77,100,8.75,US,1674026471
157,joshimath,30.5667,79.5667,10.41,22,96,2.76,IN,1674026472
158,bad kreuznach,49.8333,7.8667,0.84,80,100,2.53,DE,1674026263
159,yar-sale,66.8333,70.8333,-12.12,96,100,2.54,RU,1674026472
160,taga,46.95,24.05,9.18,78,100,6.04,RO,1674026472
161,vila franca do campo,37.7167,-25.4333,12.23,78,4,3.51,PT,1674026472
162,saldanha,-33.0117,17.9442,18.03,87,100,5.06,ZA,1674026432
163,alugan,12.2188,125.4808,27.4,80,100,2.61,PH,1674026473
164,iqaluit,63.7506,-68.5145,-20.73,70,100,1.54,CA,1674026473
165,adrar,20.5022,-10.0711,15.67,20,100,3.72,MR,1674026473
166,kingston,17.997,-76.7936,24.53,81,20,4.63,JM,1674026272
167,sinnamary,5.3833,-52.95,23.98,82,100,2.21,GF,1674026474
168,praia da vitoria,38.7333,-27.0667,11.14,93,40,3.83,PT,1674026475
169,veseloyarsk,51.2836,81.1056,-13.8,93,15,3.42,RU,1674026475
170,alofi,-19.0595,-169.9187,25.94,94,100,1.54,NU,1674026395
171,kaitangata,-46.2817,169.8464,16.08,82,25,3.32,NZ,1674026475
172,pangnirtung,66.1451,-65.7125,-22.71,73,100,1.23,CA,1674026476
173,kodiak,57.79,-152.4072,-0.27,64,0,4.12,US,1674026476
174,katsuura,35.1333,140.3,11.01,55,40,3.32,JP,1674026280
175,port moresby,-9.4431,147.1797,30.68,62,40,5.14,PG,1674026476
176,cabadiangan,9.7531,122.4739,28.22,82,100,3.59,PH,1674026478
177,souillac,-20.5167,57.5167,28.21,74,75,7.72,MU,1674026478
178,salalah,17.0151,54.0924,26.05,61,40,2.57,OM,1674026422
179,nikolskoye,59.7035,30.7861,1.94,97,100,4.67,RU,1674026478
180,kloulklubed,7.0419,134.2556,29.28,74,44,4.46,PW,1674026479
181,olinda,-8.0089,-34.8553,26.85,74,75,2.57,BR,1674026480
182,guna,24.65,77.3167,19.46,20,0,2.61,IN,1674026480
183,pisco,-13.7,-76.2167,20.03,83,100,1.03,PE,1674026480
184,namatanai,-3.6667,152.4333,28.19,72,100,3.58,PG,1674026480
185,avarua,-21.2078,-159.775,23.03,100,20,2.06,CK,1674026437
186,valley city,46.9233,-98.0032,-11.71,100,100,3.6,US,1674026481
187,santa helena,-2.2311,-45.3,22.37,98,97,0.86,BR,1674026481
188,lasa,46.6166,10.7002,-2.51,90,100,0.93,IT,1674026482
189,kibala,9.1104,18.3463,20.97,40,0,2.57,TD,1674026482
190,uaua,-9.8414,-39.4817,20.84,87,99,4.04,BR,1674026483
191,codrington,-38.2667,141.9667,14.45,61,100,8.06,AU,1674026483
192,nandu,22.8525,110.8233,10.32,63,100,2.25,CN,1674026483
193,mango,27.9797,-82.3065,16.11,89,0,2.92,US,1674026484
194,grindavik,63.8424,-22.4338,-6.74,68,20,5.66,IS,1674026484
195,khuzdar,27.7384,66.6434,14.07,24,18,2.71,PK,1674026484
196,port angeles,48.1181,-123.4307,8.21,64,75,0.0,US,1674026484
197,bilma,18.6853,12.9164,15.45,26,0,3.18,NE,1674026485
198,santa maria,-29.6842,-53.8069,19.83,92,17,3.27,BR,1674026485
199,boyolangu,-8.1181,111.8935,28.32,75,100,4.17,ID,1674026485
200,la romana,18.4273,-68.9728,19.47,74,0,4.45,DO,1674026486
201,naze,28.3667,129.4833,14.51,69,100,7.49,JP,1674026255
202,ilulissat,69.2167,-51.1,-33.47,77,0,3.33,GL,1674026486
203,torbay,47.6666,-52.7314,8.43,97,75,4.63,CA,1674026486
204,paracatu,-17.2222,-46.8747,18.41,91,23,0.83,BR,1674026486
205,cherskiy,68.75,161.3,-43.92,99,77,2.01,RU,1674026487
206,owo,7.1962,5.5868,21.43,68,72,0.33,NG,1674026488
207,assiniboia,49.6334,-105.9845,-4.1,86,100,1.03,CA,1674026488
208,cayenne,4.9333,-52.3333,23.02,100,96,0.51,GF,1674026488
209,mount pleasant,32.7941,-79.8626,15.7,95,100,1.54,US,1674026488
210,kavieng,-2.5744,150.7967,28.35,71,100,2.95,PG,1674026489
211,tura,25.5198,90.2201,21.68,27,0,2.09,IN,1674026489
212,kautokeino,69.0125,23.0412,-10.77,97,100,1.54,NO,1674026490
213,esso,55.9333,158.7,-16.65,98,100,2.33,RU,1674026490
214,santiago,-33.4569,-70.6483,19.92,56,0,2.06,CL,1674026490
215,hambantota,6.1241,81.1185,28.59,66,100,9.02,LK,1674026490
216,gao,16.6362,1.637,16.11,18,3,5.1,ML,1674026491
217,sibolga,1.7427,98.7792,28.46,62,100,2.16,ID,1674026491
218,kavaratti,10.5669,72.642,26.84,74,13,5.05,IN,1674026491
219,tautira,-17.7333,-149.15,26.5,78,15,5.52,PF,1674026491
220,san quintin,30.4833,-115.95,12.61,70,43,4.38,MX,1674026491
221,buala,-8.145,159.5921,27.14,82,100,4.5,SB,1674026492
222,pevek,69.7008,170.3133,-34.86,99,100,1.46,RU,1674026492
223,soyo,-6.1349,12.3689,26.52,83,97,2.9,AO,1674026492
224,cwmbran,51.6545,-3.0228,3.84,91,98,4.36,GB,1674026492
225,sobolevo,54.4299,31.8996,1.52,100,100,5.86,RU,1674026492
226,ahipara,-35.1667,173.1667,18.88,82,9,3.62,NZ,1674026492
227,sabang,5.8933,95.3214,26.87,69,100,7.23,ID,1674026493
228,perigueux,45.1833,0.7167,2.67,84,96,4.97,FR,1674026493
229,xai-xai,-25.0519,33.6442,30.94,58,62,1.68,MZ,1674026493
